n_features,features,test_acc,test_auc,test_f1,test_acc_0,test_acc_1,confusion_matrix
53,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44', 'Feature32', 'Feature57', 'Feature59', 'Feature48', 'Feature23', 'Feature41', 'Feature25', 'Feature62', 'Feature21', 'Feature17', 'Feature3', 'Feature53', 'Feature30', 'Feature39', 'Feature26', 'Feature13', 'Feature55', 'Feature18', 'Feature51', 'Feature35', 'Feature29', 'Feature54', 'Feature14', 'Feature20', 'Feature8', 'Feature28', 'Feature45', 'Feature15', 'Feature50', 'Feature7', 'Feature38', 'Feature16', 'Feature19', 'Feature24', 'Feature11', 'Feature9', 'Feature31']",0.6578947368421053,0.6144615384615384,0.7735191637630662,0.2153846153846154,0.888,"[[14, 51], [14, 111]]"
38,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44', 'Feature32', 'Feature57', 'Feature59', 'Feature48', 'Feature23', 'Feature41', 'Feature25', 'Feature62', 'Feature21', 'Feature17', 'Feature3', 'Feature53', 'Feature30', 'Feature39', 'Feature26', 'Feature13', 'Feature55', 'Feature18', 'Feature51', 'Feature35', 'Feature29', 'Feature54']",0.6947368421052632,0.6136615384615384,0.7943262411347518,0.3076923076923077,0.896,"[[20, 45], [13, 112]]"
56,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44', 'Feature32', 'Feature57', 'Feature59', 'Feature48', 'Feature23', 'Feature41', 'Feature25', 'Feature62', 'Feature21', 'Feature17', 'Feature3', 'Feature53', 'Feature30', 'Feature39', 'Feature26', 'Feature13', 'Feature55', 'Feature18', 'Feature51', 'Feature35', 'Feature29', 'Feature54', 'Feature14', 'Feature20', 'Feature8', 'Feature28', 'Feature45', 'Feature15', 'Feature50', 'Feature7', 'Feature38', 'Feature16', 'Feature19', 'Feature24', 'Feature11', 'Feature9', 'Feature31', 'Feature37', 'Feature10', 'Feature1']",0.6684210526315789,0.6135384615384616,0.7820069204152249,0.2153846153846154,0.904,"[[14, 51], [12, 113]]"
5,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61']",0.7052631578947368,0.6135384615384616,0.8068965517241379,0.26153846153846155,0.936,"[[17, 48], [8, 117]]"
47,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44', 'Feature32', 'Feature57', 'Feature59', 'Feature48', 'Feature23', 'Feature41', 'Feature25', 'Feature62', 'Feature21', 'Feature17', 'Feature3', 'Feature53', 'Feature30', 'Feature39', 'Feature26', 'Feature13', 'Feature55', 'Feature18', 'Feature51', 'Feature35', 'Feature29', 'Feature54', 'Feature14', 'Feature20', 'Feature8', 'Feature28', 'Feature45', 'Feature15', 'Feature50', 'Feature7', 'Feature38']",0.6736842105263158,0.6124923076923076,0.7891156462585034,0.18461538461538463,0.928,"[[12, 53], [9, 116]]"
42,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44', 'Feature32', 'Feature57', 'Feature59', 'Feature48', 'Feature23', 'Feature41', 'Feature25', 'Feature62', 'Feature21', 'Feature17', 'Feature3', 'Feature53', 'Feature30', 'Feature39', 'Feature26', 'Feature13', 'Feature55', 'Feature18', 'Feature51', 'Feature35', 'Feature29', 'Feature54', 'Feature14', 'Feature20', 'Feature8', 'Feature28']",0.7052631578947368,0.6124307692307692,0.8082191780821918,0.24615384615384617,0.944,"[[16, 49], [7, 118]]"
50,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44', 'Feature32', 'Feature57', 'Feature59', 'Feature48', 'Feature23', 'Feature41', 'Feature25', 'Feature62', 'Feature21', 'Feature17', 'Feature3', 'Feature53', 'Feature30', 'Feature39', 'Feature26', 'Feature13', 'Feature55', 'Feature18', 'Feature51', 'Feature35', 'Feature29', 'Feature54', 'Feature14', 'Feature20', 'Feature8', 'Feature28', 'Feature45', 'Feature15', 'Feature50', 'Feature7', 'Feature38', 'Feature16', 'Feature19', 'Feature24']",0.6526315789473685,0.6123076923076923,0.773972602739726,0.16923076923076924,0.904,"[[11, 54], [12, 113]]"
45,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44', 'Feature32', 'Feature57', 'Feature59', 'Feature48', 'Feature23', 'Feature41', 'Feature25', 'Feature62', 'Feature21', 'Feature17', 'Feature3', 'Feature53', 'Feature30', 'Feature39', 'Feature26', 'Feature13', 'Feature55', 'Feature18', 'Feature51', 'Feature35', 'Feature29', 'Feature54', 'Feature14', 'Feature20', 'Feature8', 'Feature28', 'Feature45', 'Feature15', 'Feature50']",0.6631578947368421,0.6118153846153845,0.7762237762237763,0.23076923076923078,0.888,"[[15, 50], [14, 111]]"
21,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44', 'Feature32', 'Feature57', 'Feature59', 'Feature48', 'Feature23']",0.6736842105263158,0.6116923076923076,0.7769784172661871,0.3076923076923077,0.864,"[[20, 45], [17, 108]]"
35,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44', 'Feature32', 'Feature57', 'Feature59', 'Feature48', 'Feature23', 'Feature41', 'Feature25', 'Feature62', 'Feature21', 'Feature17', 'Feature3', 'Feature53', 'Feature30', 'Feature39', 'Feature26', 'Feature13', 'Feature55', 'Feature18', 'Feature51']",0.6947368421052632,0.6107076923076924,0.8,0.24615384615384617,0.928,"[[16, 49], [9, 116]]"
8,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22']",0.6842105263157895,0.6098461538461538,0.7857142857142857,0.3076923076923077,0.88,"[[20, 45], [15, 110]]"
4,"['Feature2', 'Feature63', 'Feature46', 'Feature56']",0.6684210526315789,0.6088615384615385,0.7835051546391752,0.2,0.912,"[[13, 52], [11, 114]]"
34,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44', 'Feature32', 'Feature57', 'Feature59', 'Feature48', 'Feature23', 'Feature41', 'Feature25', 'Feature62', 'Feature21', 'Feature17', 'Feature3', 'Feature53', 'Feature30', 'Feature39', 'Feature26', 'Feature13', 'Feature55', 'Feature18']",0.6789473684210526,0.6076307692307692,0.7918088737201365,0.2,0.928,"[[13, 52], [9, 116]]"
54,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44', 'Feature32', 'Feature57', 'Feature59', 'Feature48', 'Feature23', 'Feature41', 'Feature25', 'Feature62', 'Feature21', 'Feature17', 'Feature3', 'Feature53', 'Feature30', 'Feature39', 'Feature26', 'Feature13', 'Feature55', 'Feature18', 'Feature51', 'Feature35', 'Feature29', 'Feature54', 'Feature14', 'Feature20', 'Feature8', 'Feature28', 'Feature45', 'Feature15', 'Feature50', 'Feature7', 'Feature38', 'Feature16', 'Feature19', 'Feature24', 'Feature11', 'Feature9', 'Feature31', 'Feature37']",0.6631578947368421,0.6072,0.7777777777777778,0.2153846153846154,0.896,"[[14, 51], [13, 112]]"
23,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44', 'Feature32', 'Feature57', 'Feature59', 'Feature48', 'Feature23', 'Feature41', 'Feature25']",0.6894736842105263,0.6067692307692307,0.794425087108014,0.26153846153846155,0.912,"[[17, 48], [11, 114]]"
19,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44', 'Feature32', 'Feature57', 'Feature59']",0.6842105263157895,0.6057846153846154,0.7902097902097902,0.26153846153846155,0.904,"[[17, 48], [12, 113]]"
37,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44', 'Feature32', 'Feature57', 'Feature59', 'Feature48', 'Feature23', 'Feature41', 'Feature25', 'Feature62', 'Feature21', 'Feature17', 'Feature3', 'Feature53', 'Feature30', 'Feature39', 'Feature26', 'Feature13', 'Feature55', 'Feature18', 'Feature51', 'Feature35', 'Feature29']",0.6684210526315789,0.6010461538461539,0.7804878048780488,0.23076923076923078,0.896,"[[15, 50], [13, 112]]"
48,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44', 'Feature32', 'Feature57', 'Feature59', 'Feature48', 'Feature23', 'Feature41', 'Feature25', 'Feature62', 'Feature21', 'Feature17', 'Feature3', 'Feature53', 'Feature30', 'Feature39', 'Feature26', 'Feature13', 'Feature55', 'Feature18', 'Feature51', 'Feature35', 'Feature29', 'Feature54', 'Feature14', 'Feature20', 'Feature8', 'Feature28', 'Feature45', 'Feature15', 'Feature50', 'Feature7', 'Feature38', 'Feature16']",0.6526315789473685,0.5985846153846154,0.7708333333333334,0.2,0.888,"[[13, 52], [14, 111]]"
55,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44', 'Feature32', 'Feature57', 'Feature59', 'Feature48', 'Feature23', 'Feature41', 'Feature25', 'Feature62', 'Feature21', 'Feature17', 'Feature3', 'Feature53', 'Feature30', 'Feature39', 'Feature26', 'Feature13', 'Feature55', 'Feature18', 'Feature51', 'Feature35', 'Feature29', 'Feature54', 'Feature14', 'Feature20', 'Feature8', 'Feature28', 'Feature45', 'Feature15', 'Feature50', 'Feature7', 'Feature38', 'Feature16', 'Feature19', 'Feature24', 'Feature11', 'Feature9', 'Feature31', 'Feature37', 'Feature10']",0.6736842105263158,0.5978461538461538,0.7947019867549668,0.12307692307692308,0.96,"[[8, 57], [5, 120]]"
30,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44', 'Feature32', 'Feature57', 'Feature59', 'Feature48', 'Feature23', 'Feature41', 'Feature25', 'Feature62', 'Feature21', 'Feature17', 'Feature3', 'Feature53', 'Feature30', 'Feature39']",0.6736842105263158,0.5944615384615384,0.7847222222222222,0.23076923076923078,0.904,"[[15, 50], [12, 113]]"
33,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44', 'Feature32', 'Feature57', 'Feature59', 'Feature48', 'Feature23', 'Feature41', 'Feature25', 'Feature62', 'Feature21', 'Feature17', 'Feature3', 'Feature53', 'Feature30', 'Feature39', 'Feature26', 'Feature13', 'Feature55']",0.6736842105263158,0.5932307692307692,0.7816901408450704,0.26153846153846155,0.888,"[[17, 48], [14, 111]]"
3,"['Feature2', 'Feature63', 'Feature46']",0.6473684210526316,0.5900307692307691,0.7665505226480837,0.2,0.88,"[[13, 52], [15, 110]]"
44,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44', 'Feature32', 'Feature57', 'Feature59', 'Feature48', 'Feature23', 'Feature41', 'Feature25', 'Feature62', 'Feature21', 'Feature17', 'Feature3', 'Feature53', 'Feature30', 'Feature39', 'Feature26', 'Feature13', 'Feature55', 'Feature18', 'Feature51', 'Feature35', 'Feature29', 'Feature54', 'Feature14', 'Feature20', 'Feature8', 'Feature28', 'Feature45', 'Feature15']",0.6631578947368421,0.5875692307692308,0.785234899328859,0.13846153846153847,0.936,"[[9, 56], [8, 117]]"
31,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44', 'Feature32', 'Feature57', 'Feature59', 'Feature48', 'Feature23', 'Feature41', 'Feature25', 'Feature62', 'Feature21', 'Feature17', 'Feature3', 'Feature53', 'Feature30', 'Feature39', 'Feature26']",0.6789473684210526,0.5864,0.7889273356401384,0.23076923076923078,0.912,"[[15, 50], [11, 114]]"
51,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44', 'Feature32', 'Feature57', 'Feature59', 'Feature48', 'Feature23', 'Feature41', 'Feature25', 'Feature62', 'Feature21', 'Feature17', 'Feature3', 'Feature53', 'Feature30', 'Feature39', 'Feature26', 'Feature13', 'Feature55', 'Feature18', 'Feature51', 'Feature35', 'Feature29', 'Feature54', 'Feature14', 'Feature20', 'Feature8', 'Feature28', 'Feature45', 'Feature15', 'Feature50', 'Feature7', 'Feature38', 'Feature16', 'Feature19', 'Feature24', 'Feature11']",0.6578947368421053,0.5848615384615384,0.7781569965870307,0.16923076923076924,0.912,"[[11, 54], [11, 114]]"
39,"['Feature2', 'Feature63', 'Feature46', 'Feature56', 'Feature61', 'Feature42', 'Feature5', 'Feature22', 'Feature43', 'Feature52', 'Feature27', 'Feature60', 'Feature49', 'Feature47', 'Feature58', 'Feature44', 'Feature32', 'Feature57', 'Feature59', 'Feature48', 'Feature23', 'Feature41', 'Feature25', 'Feature62', 'Feature21', 'Feature17', 'Feature3', 'Feature53', 'Feature30', 'Feature39', 'Feature26', 'Feature13', 'Feature55', 'Feature18', 'Feature51', 'Feature35', 'Feature29', 'Feature54', 'Feature14']",0.6578947368421053,0.5830153846153846,0.7735191637630662,0.2153846153846154,0.888,"[[14, 51], [14, 111]]"
2,"['Feature2', 'Feature63']",0.6578947368421053,0.5818461538461538,0.7781569965870307,0.16923076923076924,0.912,"[[11, 54], [11, 114]]"
